Date,Location,Rank,Score,Corps
2013-06-21,"Belvidere, IL",1st,74.1,The Cadets
2013-06-21,"Belvidere, IL",2nd,71.3,Phantom Regiment
2013-06-21,"Belvidere, IL",3rd,68.7,Madison Scouts
2013-06-21,"Belvidere, IL",4th,63.1,Blue Stars
2013-06-21,"Clovis, CA",1st,74.5,Carolina Crown
2013-06-21,"Clovis, CA",2nd,74.35,Blue Devils
2013-06-21,"Clovis, CA",4th,67.0,Blue Knights
2013-06-21,"Clovis, CA",5th,60.75,Pacific Crest
2013-06-21,"Clovis, CA",6th,58.05,Mandarins
2013-06-21,"Lexington, KY",1st,70.0,Bluecoats
2013-06-21,"Lexington, KY",2nd,66.7,The Cavaliers
2013-06-21,"Lexington, KY",3rd,66.1,Spirit of Atlanta
2013-06-21,"Lexington, KY",4th,61.7,Crossmen
2013-06-21,"Lexington, KY",5th,59.0,Troopers
2013-06-28,"Jackson, NJ",1st,77.6,The Cadets
2013-06-28,"Jackson, NJ",2nd,73.9,Phantom Regiment
2013-06-28,"Jackson, NJ",3rd,73.2,Bluecoats
2013-06-28,"Jackson, NJ",4th,69.2,Boston Crusaders
2013-06-28,"Jackson, NJ",5th,52.4,Jersey Surf
2013-06-28,"Muncie, IN",1st,74.6,Madison Scouts
2013-06-28,"Muncie, IN",2nd,72.9,The Cavaliers
2013-06-28,"Muncie, IN",3rd,70.8,Spirit of Atlanta
2013-06-28,"Muncie, IN",4th,68.4,Blue Stars
2013-06-28,"Muncie, IN",5th,67.8,Crossmen
2013-06-28,"Muncie, IN",6th,67.0,Troopers
2013-06-28,"Muncie, IN",7th,63.8,Colts
2013-06-28,"Oceanside, CA",1st,80.05,Carolina Crown
2013-06-28,"Oceanside, CA",2nd,69.35,Pacific Crest
2013-06-28,"Oceanside, CA",3rd,66.95,Mandarins
2013-06-28,"Tualatin, OR",2nd,71.0,Blue Knights
2013-06-28,"Tualatin, OR",4th,52.7,Seattle Cascades
2013-06-29,"Madison, WI",1st,75.1,Madison Scouts
2013-06-29,"Madison, WI",2nd,73.8,The Cavaliers
2013-06-29,"Madison, WI",3rd,68.4,Crossmen
2013-06-29,"Madison, WI",4th,68.3,Blue Stars
2013-06-29,"Madison, WI",5th,68.2,Troopers
2013-06-29,"Madison, WI",6th,65.5,Colts
2013-06-29,"Quincy, MA",1st,78.0,The Cadets
2013-06-29,"Quincy, MA",2nd,74.4,Phantom Regiment
2013-06-29,"Quincy, MA",3rd,73.5,Bluecoats
2013-06-29,"Quincy, MA",4th,70.4,Boston Crusaders
2013-06-29,"Quincy, MA",5th,56.2,Jersey Surf
2013-06-29,"Renton, WA",2nd,72.1,Blue Knights
2013-06-29,"Renton, WA",4th,49.5,Seattle Cascades
2013-06-29,"Walnut, CA",1st,81.2,Carolina Crown
2013-06-29,"Walnut, CA",2nd,80.9,Blue Devils
2013-06-29,"Walnut, CA",3rd,70.3,Pacific Crest
2013-06-29,"Walnut, CA",4th,67.85,Mandarins
2013-06-30,"New Haven, CT",1st,79.7,The Cadets
2013-06-30,"New Haven, CT",2nd,74.5,Phantom Regiment
2013-06-30,"New Haven, CT",3rd,74.3,Bluecoats
2013-06-30,"New Haven, CT",4th,70.5,Boston Crusaders
2013-06-30,"New Haven, CT",5th,56.3,Jersey Surf
2013-06-30,"Riverside, CA",1st,81.85,Carolina Crown
2013-06-30,"Riverside, CA",2nd,80.95,Blue Devils
2013-06-30,"Riverside, CA",3rd,70.3,Pacific Crest
2013-06-30,"Riverside, CA",4th,67.9,Mandarins
2013-06-30,"Rochester, MN",1st,74.4,Madison Scouts
2013-06-30,"Rochester, MN",2nd,70.5,Blue Stars
2013-06-30,"Rochester, MN",3rd,70.3,Crossmen
2013-06-30,"Rochester, MN",4th,68.3,Troopers
2013-06-30,"Rochester, MN",5th,66.6,Colts
2013-06-30,"Salem, WI",1st,75.4,The Cavaliers
2013-06-30,"Salem, WI",2nd,72.1,Spirit of Atlanta
2013-07-01,"Mankato, MN",1st,75.2,Madison Scouts
2013-07-01,"Mankato, MN",2nd,73.3,Blue Stars
2013-07-01,"Mankato, MN",3rd,71.7,Crossmen
2013-07-01,"Mankato, MN",4th,69.6,Colts
2013-07-01,"Mankato, MN",4th,69.6,Troopers
2013-07-01,"Tri Cities, WA",2nd,71.3,Blue Knights
2013-07-01,"Tri Cities, WA",4th,53.1,Seattle Cascades
2013-07-02,"Boise, ID",2nd,72.5,Blue Knights
2013-07-02,"Boise, ID",4th,53.6,Seattle Cascades
2013-07-03,"Bristol, RI",1st,82.2,The Cadets
2013-07-03,"Bristol, RI",2nd,77.8,Bluecoats
2013-07-03,"Bristol, RI",3rd,77.7,Phantom Regiment
2013-07-03,"Bristol, RI",4th,73.9,Boston Crusaders
2013-07-03,"Bristol, RI",5th,61.7,Jersey Surf
2013-07-03,"Cedarburg, WI",1st,77.4,Madison Scouts
2013-07-03,"Cedarburg, WI",2nd,72.8,Spirit of Atlanta
2013-07-03,"Cedarburg, WI",3rd,70.7,Blue Stars
2013-07-03,"Cedarburg, WI",4th,69.2,Crossmen
2013-07-03,"Cedarburg, WI",5th,68.8,Colts
2013-07-03,"Ogden, UT",1st,83.3,Carolina Crown
2013-07-03,"Ogden, UT",2nd,82.3,Blue Devils
2013-07-03,"Ogden, UT",4th,73.9,Blue Knights
2013-07-03,"Ogden, UT",5th,55.8,Seattle Cascades
2013-07-05,"Casper, WY",1st,83.3,Carolina Crown
2013-07-05,"Casper, WY",2nd,73.9,Blue Knights
2013-07-05,"Casper, WY",3rd,70.6,Troopers
2013-07-05,"Casper, WY",4th,59.8,Seattle Cascades
2013-07-05,"Lynn, MA",1st,82.8,The Cadets
2013-07-05,"Lynn, MA",2nd,79.05,Phantom Regiment
2013-07-05,"Lynn, MA",3rd,78.35,Bluecoats
2013-07-05,"Lynn, MA",4th,74.2,Boston Crusaders
2013-07-05,"Lynn, MA",5th,64.7,Jersey Surf
2013-07-05,"Whitewater, WI",1st,77.5,Madison Scouts
2013-07-05,"Whitewater, WI",2nd,76.3,The Cavaliers
2013-07-05,"Whitewater, WI",3rd,72.9,Spirit of Atlanta
2013-07-05,"Whitewater, WI",4th,71.45,Blue Stars
2013-07-05,"Whitewater, WI",5th,69.4,Colts
2013-07-06,"Chester, PA",1st,81.8,The Cadets
2013-07-06,"Chester, PA",2nd,78.6,Phantom Regiment
2013-07-06,"Chester, PA",3rd,78.3,Bluecoats
2013-07-06,"Chester, PA",4th,74.9,Boston Crusaders
2013-07-06,"Chester, PA",5th,65.35,Jersey Surf
2013-07-06,"Denver, CO",1st,83.15,Carolina Crown
2013-07-06,"Denver, CO",2nd,82.65,Blue Devils
2013-07-06,"Denver, CO",4th,74.65,Blue Knights
2013-07-06,"Denver, CO",5th,71.55,Troopers
2013-07-06,"Denver, CO",6th,68.35,The Academy
2013-07-06,"Denver, CO",7th,57.4,Seattle Cascades
2013-07-06,"Michigan City, IN",1st,79.2,Madison Scouts
2013-07-06,"Michigan City, IN",2nd,78.75,The Cavaliers
2013-07-06,"Michigan City, IN",3rd,75.6,Spirit of Atlanta
2013-07-06,"Michigan City, IN",4th,72.55,Blue Stars
2013-07-06,"Michigan City, IN",5th,72.5,Crossmen
2013-07-06,"Sacramento, CA",1st,70.3,Mandarins
2013-07-07,"Chambersburg, PA",1st,83.15,The Cadets
2013-07-07,"Chambersburg, PA",2nd,79.3,Phantom Regiment
2013-07-07,"Chambersburg, PA",3rd,78.8,Bluecoats
2013-07-07,"Chambersburg, PA",4th,73.95,Boston Crusaders
2013-07-07,"Lisle, IL",1st,77.0,The Cavaliers
2013-07-07,"Lisle, IL",2nd,74.85,Spirit of Atlanta
2013-07-07,"Lisle, IL",3rd,72.8,Blue Stars
2013-07-07,"Lisle, IL",4th,72.75,Crossmen
2013-07-07,"Pleasant Hill, CA",1st,71.45,Mandarins
2013-07-08,"Omaha, NE",1st,83.3,Carolina Crown
2013-07-08,"Omaha, NE",2nd,82.65,Blue Devils
2013-07-08,"Omaha, NE",4th,75.4,Blue Knights
2013-07-08,"Omaha, NE",5th,72.4,Troopers
2013-07-08,"Omaha, NE",6th,68.35,The Academy
2013-07-08,"Omaha, NE",7th,58.1,Seattle Cascades
2013-07-09,"Metamora, IL",1st,80.7,Phantom Regiment
2013-07-09,"Metamora, IL",2nd,75.3,Spirit of Atlanta
2013-07-09,"Metamora, IL",3rd,73.1,Blue Stars
2013-07-09,"Metamora, IL",4th,70.4,Colts
2013-07-09,"Metamora, IL",5th,69.0,The Academy
2013-07-09,"Sioux Falls, SD",1st,83.4,Carolina Crown
2013-07-09,"Sioux Falls, SD",2nd,74.7,Blue Knights
2013-07-09,"Sioux Falls, SD",3rd,72.2,Troopers
2013-07-09,"Sioux Falls, SD",4th,55.4,Seattle Cascades
2013-07-10,"Waukee, IA",2nd,79.75,Madison Scouts
2013-07-10,"Waukee, IA",3rd,75.1,Spirit of Atlanta
2013-07-10,"Waukee, IA",4th,73.75,Colts
2013-07-10,"Waukee, IA",5th,70.0,The Academy
2013-07-10,"Waukee, IA",6th,61.0,Seattle Cascades
2013-07-11,"Muscatine, IA",1st,80.15,Madison Scouts
2013-07-11,"Muscatine, IA",2nd,76.55,Spirit of Atlanta
2013-07-11,"Muscatine, IA",3rd,75.15,Crossmen
2013-07-11,"Muscatine, IA",4th,73.9,Colts
2013-07-11,"Warrensburg, MO",1st,85.45,Carolina Crown
2013-07-11,"Warrensburg, MO",2nd,84.1,Blue Devils
2013-07-11,"Warrensburg, MO",3rd,83.9,The Cadets
2013-07-11,"Warrensburg, MO",5th,80.75,Phantom Regiment
2013-07-11,"Warrensburg, MO",6th,78.5,Bluecoats
2013-07-11,"Warrensburg, MO",7th,78.3,The Cavaliers
2013-07-12,"Dubuque, IA",1st,81.05,Madison Scouts
2013-07-12,"Dubuque, IA",2nd,78.55,Blue Knights
2013-07-12,"Dubuque, IA",3rd,75.2,Colts
2013-07-12,"Dubuque, IA",4th,72.2,The Academy
2013-07-12,"Dubuque, IA",5th,64.45,Seattle Cascades
2013-07-12,"La Crosse, WI",1st,80.1,Bluecoats
2013-07-12,"La Crosse, WI",2nd,78.95,The Cavaliers
2013-07-12,"La Crosse, WI",3rd,77.25,Boston Crusaders
2013-07-12,"La Crosse, WI",4th,75.55,Blue Stars
2013-07-12,"La Crosse, WI",5th,74.85,Crossmen
2013-07-12,"La Crosse, WI",6th,73.9,Troopers
2013-07-12,"La Crosse, WI",1st,68.55,Music City
2013-07-13,"Laguna Hills, CA",1st,74.8,Pacific Crest
2013-07-13,"Laguna Hills, CA",2nd,73.6,Mandarins
2013-07-13,"Minneapolis, MN",1st,86.0,Carolina Crown
2013-07-13,"Minneapolis, MN",2nd,85.55,Blue Devils
2013-07-13,"Minneapolis, MN",3rd,84.45,The Cadets
2013-07-13,"Minneapolis, MN",5th,82.0,Phantom Regiment
2013-07-13,"Minneapolis, MN",6th,81.3,Bluecoats
2013-07-13,"Minneapolis, MN",7th,80.15,Madison Scouts
2013-07-13,"Minneapolis, MN",8th,78.6,The Cavaliers
2013-07-13,"Minneapolis, MN",9th,78.1,Blue Knights
2013-07-13,"Minneapolis, MN",10th,78.05,Boston Crusaders
2013-07-13,"Minneapolis, MN",11th,75.45,Spirit of Atlanta
2013-07-13,"Minneapolis, MN",12th,75.35,Blue Stars
2013-07-13,"Minneapolis, MN",13th,73.4,Troopers
2013-07-13,"Minneapolis, MN",14th,73.3,Crossmen
2013-07-13,"Minneapolis, MN",15th,70.9,Colts
2013-07-13,"Minneapolis, MN",16th,69.1,The Academy
2013-07-13,"Minneapolis, MN",1st,68.4,Music City
2013-07-13,"Minneapolis, MN",17th,61.0,Seattle Cascades
2013-07-14,"Bellflower, CA",1st,75.0,Pacific Crest
2013-07-14,"Bellflower, CA",2nd,73.8,Mandarins
2013-07-14,"DeKalb, IL",1st,85.4,Carolina Crown
2013-07-14,"DeKalb, IL",1st,85.4,The Cadets
2013-07-14,"DeKalb, IL",3rd,84.85,Blue Devils
2013-07-14,"DeKalb, IL",5th,81.55,Phantom Regiment
2013-07-14,"DeKalb, IL",6th,79.75,Bluecoats
2013-07-14,"DeKalb, IL",7th,79.0,The Cavaliers
2013-07-15,"Lebanon, IL",1st,87.05,Carolina Crown
2013-07-15,"Lebanon, IL",2nd,86.1,Blue Devils
2013-07-15,"Lebanon, IL",3rd,82.45,Phantom Regiment
2013-07-15,"Lebanon, IL",4th,76.05,Blue Stars
2013-07-15,"Lebanon, IL",5th,73.95,Troopers
2013-07-15,"Lebanon, IL",6th,71.05,The Academy
2013-07-15,"Lebanon, IL",1st,69.8,Music City
2013-07-15,"Olathe, KS",1st,81.85,Madison Scouts
2013-07-15,"Olathe, KS",2nd,78.9,Blue Knights
2013-07-15,"Olathe, KS",3rd,77.05,Boston Crusaders
2013-07-15,"Olathe, KS",4th,73.05,Colts
2013-07-15,"Olathe, KS",5th,72.95,Crossmen
2013-07-15,"Olathe, KS",6th,63.7,Seattle Cascades
2013-07-16,"Bentonville, AR",1st,88.15,Carolina Crown
2013-07-16,"Bentonville, AR",2nd,77.45,Blue Stars
2013-07-16,"Bentonville, AR",3rd,75.45,Troopers
2013-07-16,"Bentonville, AR",4th,74.45,Crossmen
2013-07-16,"Bentonville, AR",5th,74.05,Colts
2013-07-16,"Bentonville, AR",1st,72.2,Music City
2013-07-16,"Bentonville, AR",2nd,71.55,Genesis
2013-07-16,"Bentonville, AR",6th,71.1,The Academy
2013-07-16,"Wichita, KS",1st,87.3,Blue Devils
2013-07-16,"Wichita, KS",2nd,82.6,Madison Scouts
2013-07-16,"Wichita, KS",3rd,78.7,Boston Crusaders
2013-07-16,"Wichita, KS",4th,76.7,Spirit of Atlanta
2013-07-16,"Wichita, KS",5th,63.55,Seattle Cascades
2013-07-17,"Broken Arrow, OK",1st,85.95,The Cadets
2013-07-17,"Broken Arrow, OK",2nd,80.75,Blue Knights
2013-07-17,"Broken Arrow, OK",3rd,77.8,Spirit of Atlanta
2013-07-17,"Broken Arrow, OK",4th,76.05,Troopers
2013-07-17,"Broken Arrow, OK",5th,75.4,Crossmen
2013-07-17,"Broken Arrow, OK",6th,74.55,Colts
2013-07-17,"Broken Arrow, OK",7th,72.3,Pacific Crest
2013-07-17,"Broken Arrow, OK",8th,71.3,The Academy
2013-07-17,"Broken Arrow, OK",9th,65.15,Seattle Cascades
2013-07-18,"Denton, TX",1st,87.7,Blue Devils
2013-07-18,"Denton, TX",2nd,87.6,Carolina Crown
2013-07-18,"Denton, TX",3rd,87.05,The Cadets
2013-07-18,"Denton, TX",5th,81.35,The Cavaliers
2013-07-18,"Denton, TX",6th,81.05,Blue Knights
2013-07-18,"Denton, TX",7th,78.55,Spirit of Atlanta
2013-07-18,"Denton, TX",8th,77.15,Crossmen
2013-07-18,"Denton, TX",9th,77.05,Blue Stars
2013-07-18,"Denton, TX",10th,75.45,Colts
2013-07-18,"Denton, TX",11th,72.45,Mandarins
2013-07-19,"Houston, TX",1st,85.55,Phantom Regiment
2013-07-19,"Houston, TX",2nd,83.35,Bluecoats
2013-07-19,"Houston, TX",3rd,82.8,Madison Scouts
2013-07-19,"Houston, TX",4th,82.55,The Cavaliers
2013-07-19,"Houston, TX",5th,80.75,Boston Crusaders
2013-07-19,"Houston, TX",6th,73.85,Pacific Crest
2013-07-19,"Houston, TX",7th,73.25,The Academy
2013-07-19,"Houston, TX",1st,72.85,Genesis
2013-07-19,"Houston, TX",8th,67.9,Jersey Surf
2013-07-20,"San Antonio, TX",1st,89.45,Blue Devils
2013-07-20,"San Antonio, TX",2nd,89.2,Carolina Crown
2013-07-20,"San Antonio, TX",3rd,88.45,The Cadets
2013-07-20,"San Antonio, TX",5th,85.75,Phantom Regiment
2013-07-20,"San Antonio, TX",6th,85.05,Bluecoats
2013-07-20,"San Antonio, TX",7th,83.25,Madison Scouts
2013-07-20,"San Antonio, TX",8th,83.2,The Cavaliers
2013-07-20,"San Antonio, TX",9th,82.05,Blue Knights
2013-07-20,"San Antonio, TX",10th,80.95,Boston Crusaders
2013-07-20,"San Antonio, TX",11th,79.2,Spirit of Atlanta
2013-07-20,"San Antonio, TX",12th,78.05,Blue Stars
2013-07-20,"San Antonio, TX",13th,77.5,Crossmen
2013-07-20,"San Antonio, TX",14th,77.05,Troopers
2013-07-20,"San Antonio, TX",15th,75.55,Pacific Crest
2013-07-20,"San Antonio, TX",16th,75.05,Colts
2013-07-20,"San Antonio, TX",1st,73.25,Genesis
2013-07-20,"San Antonio, TX",17th,71.95,The Academy
2013-07-20,"San Antonio, TX",19th,71.25,Mandarins
2013-07-20,"San Antonio, TX",20th,66.4,Jersey Surf
2013-07-20,"San Antonio, TX",21st,64.95,Seattle Cascades
2013-07-21,"Round Rock, TX",1st,89.9,Carolina Crown
2013-07-21,"Round Rock, TX",2nd,89.8,Blue Devils
2013-07-21,"Round Rock, TX",3rd,89.55,The Cadets
2013-07-21,"Round Rock, TX",5th,85.45,Phantom Regiment
2013-07-21,"Round Rock, TX",6th,84.5,Bluecoats
2013-07-21,"Round Rock, TX",7th,82.5,The Cavaliers
2013-07-22,"Lafayette, LA",1st,90.75,Carolina Crown
2013-07-22,"Lafayette, LA",2nd,90.65,The Cadets
2013-07-22,"Lafayette, LA",3rd,84.6,Madison Scouts
2013-07-22,"Lafayette, LA",4th,80.25,Spirit of Atlanta
2013-07-22,"Lafayette, LA",5th,78.45,Blue Stars
2013-07-22,"Lafayette, LA",6th,76.85,Troopers
2013-07-22,"Lafayette, LA",7th,75.7,Colts
2013-07-22,"Lafayette, LA",8th,72.25,Mandarins
2013-07-23,"Dallas, TX",2nd,85.95,Bluecoats
2013-07-23,"Dallas, TX",3rd,83.25,Blue Knights
2013-07-23,"Dallas, TX",4th,78.95,Crossmen
2013-07-23,"Dallas, TX",5th,73.2,The Academy
2013-07-23,"Dallas, TX",6th,68.9,Jersey Surf
2013-07-23,"Mustang, OK",1st,84.2,The Cavaliers
2013-07-23,"Mustang, OK",2nd,81.9,Boston Crusaders
2013-07-23,"Mustang, OK",3rd,76.65,Pacific Crest
2013-07-23,"Mustang, OK",2nd,75.05,Music City
2013-07-23,"Mustang, OK",3rd,72.75,Genesis
2013-07-23,"Mustang, OK",5th,65.65,Seattle Cascades
2013-07-23,"Ocean Springs, MS",1st,90.7,The Cadets
2013-07-23,"Ocean Springs, MS",2nd,90.45,Carolina Crown
2013-07-23,"Ocean Springs, MS",3rd,84.75,Madison Scouts
2013-07-23,"Ocean Springs, MS",4th,80.9,Spirit of Atlanta
2013-07-23,"Ocean Springs, MS",5th,79.4,Blue Stars
2013-07-23,"Ocean Springs, MS",6th,76.9,Troopers
2013-07-23,"Ocean Springs, MS",7th,76.6,Colts
2013-07-24,"Hattiesburg, MS",1st,91.35,Blue Devils
2013-07-24,"Hattiesburg, MS",2nd,86.8,Phantom Regiment
2013-07-24,"Hattiesburg, MS",3rd,81.2,Spirit of Atlanta
2013-07-24,"Hattiesburg, MS",4th,80.3,Blue Stars
2013-07-24,"Hattiesburg, MS",5th,77.95,Troopers
2013-07-24,"Hattiesburg, MS",6th,77.35,Colts
2013-07-24,"Hattiesburg, MS",7th,73.6,Mandarins
2013-07-24,"Little Rock, AR",1st,86.95,Bluecoats
2013-07-24,"Little Rock, AR",2nd,85.4,The Cavaliers
2013-07-24,"Little Rock, AR",3rd,83.2,Boston Crusaders
2013-07-24,"Little Rock, AR",4th,83.05,Blue Knights
2013-07-24,"Little Rock, AR",5th,80.35,Crossmen
2013-07-24,"Little Rock, AR",6th,76.3,Pacific Crest
2013-07-24,"Little Rock, AR",1st,75.4,Genesis
2013-07-24,"Little Rock, AR",7th,73.15,The Academy
2013-07-25,"Opelika, AL",1st,82.7,Spirit of Atlanta
2013-07-25,"Opelika, AL",2nd,81.9,Blue Stars
2013-07-25,"Opelika, AL",3rd,76.1,Mandarins
2013-07-25,"Opelika, AL",4th,75.5,The Academy
2013-07-25,"Opelika, AL",5th,69.95,Jersey Surf
2013-07-26,"Murfreesboro, TN",1st,92.15,Blue Devils
2013-07-26,"Murfreesboro, TN",2nd,91.1,Carolina Crown
2013-07-26,"Murfreesboro, TN",3rd,91.0,The Cadets
2013-07-26,"Murfreesboro, TN",5th,87.2,Phantom Regiment
2013-07-26,"Murfreesboro, TN",6th,87.1,Bluecoats
2013-07-26,"Murfreesboro, TN",7th,84.35,The Cavaliers
2013-07-26,"Murfreesboro, TN",1st,78.8,Music City
2013-07-27,"Charlotte, NC",1st,91.9,Blue Devils
2013-07-27,"Charlotte, NC",2nd,91.85,Carolina Crown
2013-07-27,"Charlotte, NC",3rd,90.85,The Cadets
2013-07-27,"Charlotte, NC",5th,87.9,Phantom Regiment
2013-07-27,"Charlotte, NC",6th,86.7,Bluecoats
2013-07-27,"Charlotte, NC",7th,84.95,The Cavaliers
2013-07-27,"Huntsville, AL",1st,85.95,Madison Scouts
2013-07-27,"Huntsville, AL",2nd,84.2,Boston Crusaders
2013-07-27,"Huntsville, AL",3rd,83.6,Blue Knights
2013-07-27,"Huntsville, AL",4th,82.15,Spirit of Atlanta
2013-07-27,"Huntsville, AL",1st,82.1,Music City
2013-07-27,"Huntsville, AL",5th,81.4,Blue Stars
2013-07-27,"Huntsville, AL",6th,79.9,Crossmen
2013-07-27,"Huntsville, AL",7th,78.85,Troopers
2013-07-27,"Huntsville, AL",8th,77.2,Colts
2013-07-27,"Huntsville, AL",9th,76.2,Pacific Crest
2013-07-27,"Huntsville, AL",11th,74.85,The Academy
2013-07-27,"Huntsville, AL",12th,72.1,Jersey Surf
2013-07-27,"Huntsville, AL",13th,70.05,Seattle Cascades
2013-07-27,"Kalamazoo, MI",4th,80.45,Genesis
2013-07-28,"Atlanta, GA",1st,92.9,Blue Devils
2013-07-28,"Atlanta, GA",2nd,92.55,Carolina Crown
2013-07-28,"Atlanta, GA",3rd,92.0,The Cadets
2013-07-28,"Atlanta, GA",5th,89.0,Phantom Regiment
2013-07-28,"Atlanta, GA",6th,88.2,Bluecoats
2013-07-28,"Atlanta, GA",7th,86.2,Madison Scouts
2013-07-28,"Atlanta, GA",8th,85.35,The Cavaliers
2013-07-28,"Atlanta, GA",9th,85.0,Boston Crusaders
2013-07-28,"Atlanta, GA",10th,84.55,Blue Knights
2013-07-28,"Atlanta, GA",11th,82.7,Spirit of Atlanta
2013-07-28,"Atlanta, GA",12th,82.15,Blue Stars
2013-07-28,"Atlanta, GA",13th,80.35,Troopers
2013-07-28,"Atlanta, GA",14th,79.95,Crossmen
2013-07-28,"Atlanta, GA",15th,77.75,Colts
2013-07-28,"Atlanta, GA",16th,77.3,Pacific Crest
2013-07-28,"Atlanta, GA",17th,75.5,Mandarins
2013-07-28,"Atlanta, GA",18th,74.55,The Academy
2013-07-28,"Atlanta, GA",20th,70.65,Jersey Surf
2013-07-28,"Atlanta, GA",21st,68.85,Seattle Cascades
2013-07-29,"Rice Lake, WI",2nd,82.55,Genesis
2013-07-30,"Charleston, WV",1st,88.9,Phantom Regiment
2013-07-30,"Charleston, WV",2nd,88.3,Bluecoats
2013-07-30,"Charleston, WV",3rd,85.9,The Cavaliers
2013-07-30,"Charleston, WV",4th,85.8,Madison Scouts
2013-07-30,"Charleston, WV",5th,68.4,Seattle Cascades
2013-07-30,"Dublin, OH",2nd,85.8,Blue Knights
2013-07-30,"Dublin, OH",3rd,83.35,Spirit of Atlanta
2013-07-30,"Dublin, OH",4th,81.95,Blue Stars
2013-07-30,"Dublin, OH",5th,79.0,Troopers
2013-07-30,"Dublin, OH",6th,75.65,The Academy
2013-07-30,"Mason City, IA",1st,84.45,Genesis
2013-07-30,"Salem, VA",1st,94.1,Carolina Crown
2013-07-30,"Salem, VA",2nd,93.3,Blue Devils
2013-07-30,"Salem, VA",3rd,86.1,Boston Crusaders
2013-07-30,"Salem, VA",4th,82.0,Crossmen
2013-07-30,"Salem, VA",5th,79.2,Colts
2013-07-30,"Salem, VA",6th,79.05,Pacific Crest
2013-07-30,"Salem, VA",7th,76.0,Mandarins
2013-07-31,"Erie, PA",2nd,86.95,Blue Knights
2013-07-31,"Erie, PA",3rd,84.0,Spirit of Atlanta
2013-07-31,"Erie, PA",4th,82.95,Blue Stars
2013-07-31,"Erie, PA",5th,79.95,Troopers
2013-07-31,"Erie, PA",7th,75.8,The Academy
2013-07-31,"Spring Valley, IL",1st,86.6,Genesis
2013-07-31,"Spring Valley, IL",2nd,86.2,Music City
2013-07-31,"Warrenton, VA",1st,94.5,Blue Devils
2013-07-31,"Warrenton, VA",2nd,90.8,Bluecoats
2013-07-31,"Warrenton, VA",3rd,81.25,Colts
2013-07-31,"Warrenton, VA",4th,79.15,Pacific Crest
2013-07-31,"Warrenton, VA",5th,77.95,Mandarins
2013-07-31,"Warrenton, VA",7th,68.25,Seattle Cascades
2013-07-31,"West Chester, PA",1st,93.65,Carolina Crown
2013-07-31,"West Chester, PA",2nd,92.7,The Cadets
2013-07-31,"West Chester, PA",3rd,87.25,The Cavaliers
2013-07-31,"West Chester, PA",4th,86.8,Madison Scouts
2013-07-31,"West Chester, PA",5th,82.5,Crossmen
2013-07-31,"West Chester, PA",6th,71.55,Jersey Surf
2013-08-01,"Lawrence, MA",1st,93.15,The Cadets
2013-08-01,"Lawrence, MA",2nd,87.3,Madison Scouts
2013-08-01,"Lawrence, MA",3rd,87.25,Boston Crusaders
2013-08-01,"Lawrence, MA",4th,82.6,Crossmen
2013-08-01,"Niles, MI",2nd,85.9,Genesis
2013-08-01,"Rome, NY",1st,86.8,Blue Knights
2013-08-01,"Rome, NY",2nd,83.1,Blue Stars
2013-08-01,"Rome, NY",3rd,80.1,Troopers
2013-08-01,"Rome, NY",5th,76.5,The Academy
2013-08-01,"Rome, NY",6th,72.9,Jersey Surf
2013-08-01,"Rome, NY",7th,67.85,Seattle Cascades
2013-08-02,"Allentown, PA",1st,93.7,The Cadets
2013-08-02,"Allentown, PA",3rd,90.0,Phantom Regiment
2013-08-02,"Allentown, PA",4th,89.05,Bluecoats
2013-08-02,"Allentown, PA",5th,84.35,Blue Stars
2013-08-02,"Allentown, PA",6th,84.1,Spirit of Atlanta
2013-08-02,"Allentown, PA",7th,81.65,Troopers
2013-08-02,"Allentown, PA",8th,79.65,Colts
2013-08-02,"Allentown, PA",9th,76.05,Mandarins
2013-08-02,"Allentown, PA",10th,75.6,The Academy
2013-08-02,"Johnsonburg, PA",3rd,88.6,Genesis
2013-08-02,"Johnsonburg, PA",4th,88.25,Music City
2013-08-03,"Allentown, PA",1st,95.05,Blue Devils
2013-08-03,"Allentown, PA",2nd,94.85,Carolina Crown
2013-08-03,"Allentown, PA",3rd,88.75,The Cavaliers
2013-08-03,"Allentown, PA",4th,88.5,Boston Crusaders
2013-08-03,"Allentown, PA",5th,87.65,Madison Scouts
2013-08-03,"Allentown, PA",6th,86.0,Blue Knights
2013-08-03,"Allentown, PA",7th,83.25,Crossmen
2013-08-03,"Allentown, PA",8th,80.25,Pacific Crest
2013-08-03,"Allentown, PA",10th,75.15,Jersey Surf
2013-08-03,"Allentown, PA",12th,70.2,Seattle Cascades
2013-08-03,"Avon Lake, OH",3rd,89.2,Genesis
2013-08-03,"Avon Lake, OH",5th,88.05,Music City
2013-08-04,"Allentown, PA",1st,95.75,Blue Devils
2013-08-04,"Allentown, PA",2nd,95.1,Carolina Crown
2013-08-04,"Allentown, PA",3rd,94.4,The Cadets
2013-08-04,"Allentown, PA",5th,91.55,Phantom Regiment
2013-08-04,"Allentown, PA",6th,90.85,Bluecoats
2013-08-04,"Allentown, PA",7th,89.1,The Cavaliers
2013-08-04,"Pittsburgh, PA",1st,88.9,Boston Crusaders
2013-08-04,"Pittsburgh, PA",2nd,86.25,Blue Knights
2013-08-04,"Pittsburgh, PA",3rd,85.1,Blue Stars
